4191,BK-IM-TR4-8,"Imation Travan - 8GB",1
4196,BK-IM-DDS4-CL,"Imation Travan - 20GB Compatible: Travan NS 20 GB,",2
5938,"WAR-ASUS3RDYR ","ASUS EXTEND FROM 2 YEAR TO 3RD YEAR GLOBAL WARRANTY",3
5942,WAR-TOS-2YR,"TOSHIBA from 1 Year  to 3 Year Extended Warranty ",4
6522,SYS-AT-AUSPECIA-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-AUSPECIA",5
6524,SYS-AT-AVE-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-AVE",6
6530,SYS-AT-MODEL4-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-MODEL4",7
6532,SYS-AT-AVB-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-AVB",8
6535,SYS-AT-AMD6X-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-AMD6X",9
6537,SYS-AT-MODEL6-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-MODEL6",10
6541,SYS-AT-MEDIAPC2-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-MEDIAPC2",11
6545,SYS-AT-MEDIAPC-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-MEDIAPC",12
6548,SYS-AT-MODEL16-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-MODEL16",13
6551,SYS-AT-MODEL12-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-MODEL12",14
6557,SYS-AT-AUSBENE-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-AUSBENE",15
6559,SYS-AT-MODEL21-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-MODEL21",16
6562,SYS-AUS-GAMING1-ADJST,"PRICE ADJUSTMENT FOR SYS-AUS-GAMING1",17
6565,SYS-AUS-GAMING2-ADJST,"PRICE ADJUSTMENT FOR SYS-AUS-GAMING2",18
6568,SYS-I7980ULTIMA-ADJST,"PRICE ADJUSTMENT FOR SYS-I7980ULTIMA",19
6570,SYS-AT-CAD1-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-CAD1",20
6572,SYS-AT-CAD2-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-CAD2",21
6575,SYS-AT-CAD3-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-CAD3",22
7138,SYS-AT-SERVER2--ADJST,"PRICE ADJUSTMENT FOR SYS-AT-SERVER2-",23
7140,SYS-AT-SERVER3-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-SERVER3",24
7142,SYS-AT-SERVER4-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-SERVER4",25
7144,SYS-AT-SERVER1-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-SERVER1",26
7768,AT-MANAGED-AV,"AustinCare Managed End Point Security - 60 Days Free Trial",27
104489,SERVICECHARGE,"Service Labour Charge",28
239532,SYS-SERVER-SILV-ADJST,"PRICE ADJUSTMENT FOR SYS-SERVER-SILV",29
239534,SYS-SERVER-GOLD-ADJST,"PRICE ADJUSTMENT FOR SYS-SERVER-GOLD",30
239536,SYS-SERVER-PLAT-ADJST,"PRICE ADJUSTMENT FOR SYS-SERVER-PLAT",31
265400,COCD-INTACT,"Intact CD-R 52X 80 MIN/700MB Inkjet Printable White 50pc",32
265441,SVR-SUP-5038DI-ADJST,"PRICE ADJUSTMENT FOR SVR-SUP-5038DI",33
265444,SVR-SUP-5018DMT-ADJST,"PRICE ADJUSTMENT FOR SVR-SUP-5018DMT",34
265450,SVR-SUP-7047RTR-ADJST,"PRICE ADJUSTMENT FOR SVR-SUP-7047RTR",35
268289,SYS-SER-ENTP-ADJST,"PRICE ADJUSTMENT FOR SYS-SER-ENTP",36
268291,SYS-AT-MODEL8-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-MODEL8",37
268293,SYS-AT-MODEL20-ADJST,"PRICE ADJUSTMENT FOR SYS-AT-MODEL20",38
